2025-03-12 17:11:07 [INFO] 開始訓練...
2025-03-12 17:11:07 [INFO] 沒有找到快取檔，開始讀取並處理每個音檔...
2025-03-12 17:11:07 [INFO] 正在處理 123456_Zhehui 的音檔
2025-03-12 17:11:13 [INFO] 正在處理 654321_Baiway 的音檔
2025-03-12 17:11:19 [INFO] 正在處理 921510_Roger 的音檔
2025-03-12 17:11:22 [INFO] 正在處理 921588_Leon 的音檔
2025-03-12 17:11:30 [INFO] 已完成音檔 0.8, 0.2 分割並快取，train=50148, test=12600
2025-03-12 17:11:30 [INFO] 載入訓練集，共 50148 筆
2025-03-12 17:11:33 [INFO] Epoch 1, Loss: 3.5141, lr: 0.010000
2025-03-12 17:11:33 [INFO] Epoch 2, Loss: 2.5853, lr: 0.010000
2025-03-12 17:11:34 [INFO] Epoch 3, Loss: 1.8819, lr: 0.010000
2025-03-12 17:11:35 [INFO] Epoch 4, Loss: 2.1635, lr: 0.010000
2025-03-12 17:11:36 [INFO] Epoch 5, Loss: 2.3523, lr: 0.010000
2025-03-12 17:11:37 [INFO] Epoch 6, Loss: 2.4732, lr: 0.010000
2025-03-12 17:11:38 [INFO] Epoch 7, Loss: 2.1904, lr: 0.010000
2025-03-12 17:11:39 [INFO] Epoch 8, Loss: 0.9670, lr: 0.005000
2025-03-12 17:11:40 [INFO] Epoch 9, Loss: 1.0035, lr: 0.005000
2025-03-12 17:11:40 [INFO] Epoch 10, Loss: 1.1950, lr: 0.005000
2025-03-12 17:11:41 [INFO] Epoch 11, Loss: 1.1665, lr: 0.005000
2025-03-12 17:11:42 [INFO] Epoch 12, Loss: 1.3096, lr: 0.005000
2025-03-12 17:11:43 [INFO] Epoch 13, Loss: 0.4293, lr: 0.002500
2025-03-12 17:11:44 [INFO] Epoch 14, Loss: 0.5304, lr: 0.002500
2025-03-12 17:11:45 [INFO] Epoch 15, Loss: 0.4918, lr: 0.002500
2025-03-12 17:11:46 [INFO] Epoch 16, Loss: 0.5305, lr: 0.002500
2025-03-12 17:11:47 [INFO] Epoch 17, Loss: 0.4995, lr: 0.002500
2025-03-12 17:11:48 [INFO] Epoch 18, Loss: 0.2334, lr: 0.001250
2025-03-12 17:11:49 [INFO] Epoch 19, Loss: 0.2297, lr: 0.001250
2025-03-12 17:11:49 [INFO] Epoch 20, Loss: 0.2500, lr: 0.001250
2025-03-12 17:11:50 [INFO] Epoch 21, Loss: 0.2886, lr: 0.001250
2025-03-12 17:11:51 [INFO] Epoch 22, Loss: 0.2512, lr: 0.001250
2025-03-12 17:11:52 [INFO] Epoch 23, Loss: 0.2532, lr: 0.001250
2025-03-12 17:11:53 [INFO] Epoch 24, Loss: 0.1431, lr: 0.000625
2025-03-12 17:11:54 [INFO] Epoch 25, Loss: 0.1377, lr: 0.000625
2025-03-12 17:11:55 [INFO] Epoch 26, Loss: 0.1419, lr: 0.000625
2025-03-12 17:11:56 [INFO] Epoch 27, Loss: 0.1365, lr: 0.000625
2025-03-12 17:11:57 [INFO] Epoch 28, Loss: 0.1386, lr: 0.000625
2025-03-12 17:11:57 [INFO] Epoch 29, Loss: 0.1405, lr: 0.000625
2025-03-12 17:11:58 [INFO] Epoch 30, Loss: 0.1414, lr: 0.000625
2025-03-12 17:11:59 [INFO] Epoch 31, Loss: 0.1448, lr: 0.000625
2025-03-12 17:12:00 [INFO] Epoch 32, Loss: 0.1205, lr: 0.000313
2025-03-12 17:12:01 [INFO] Epoch 33, Loss: 0.1219, lr: 0.000313
2025-03-12 17:12:02 [INFO] Epoch 34, Loss: 0.1208, lr: 0.000313
2025-03-12 17:12:03 [INFO] Epoch 35, Loss: 0.1208, lr: 0.000313
2025-03-12 17:12:04 [INFO] Epoch 36, Loss: 0.1204, lr: 0.000313
2025-03-12 17:12:05 [INFO] Epoch 37, Loss: 0.1213, lr: 0.000313
2025-03-12 17:12:06 [INFO] Epoch 38, Loss: 0.1200, lr: 0.000313
2025-03-12 17:12:07 [INFO] Epoch 39, Loss: 0.1197, lr: 0.000313
2025-03-12 17:12:08 [INFO] Epoch 40, Loss: 0.1201, lr: 0.000313
2025-03-12 17:12:09 [INFO] Epoch 41, Loss: 0.1214, lr: 0.000313
2025-03-12 17:12:10 [INFO] Epoch 42, Loss: 0.1199, lr: 0.000313
2025-03-12 17:12:11 [INFO] Epoch 43, Loss: 0.1200, lr: 0.000313
2025-03-12 17:12:12 [INFO] Epoch 44, Loss: 0.1162, lr: 0.000156
2025-03-12 17:12:13 [INFO] Epoch 45, Loss: 0.1162, lr: 0.000156
2025-03-12 17:12:14 [INFO] Epoch 46, Loss: 0.1160, lr: 0.000156
2025-03-12 17:12:15 [INFO] Epoch 47, Loss: 0.1165, lr: 0.000156
2025-03-12 17:12:16 [INFO] Epoch 48, Loss: 0.1164, lr: 0.000156
